"Section/Rule","Context/Area","Question","Responsible Party/Subject","T-Level"
"A2.2.3.2.","CONUS to CONUS Base of Preference (FTA BOP)","Will approved CONUS BOP result in AAC 28?","Approved CONUS BOP","T-0"
"A2.2.3.2.","CONUS to CONUS Base of Preference (FTA BOP)","Will the AAC expire 24 months from date arrived station?","AAC","T-0"
"A2.2.4.1.","Overseas to CONUS Base of Preference (FTA BOP)","Will members apply via vMPF?","Members","T-0"
"A2.2.4.1.","Overseas to CONUS Base of Preference (FTA BOP)","Will members apply NET 12 months prior to DEROS?","Members","T-0"
"A2.2.4.1.","Overseas to CONUS Base of Preference (FTA BOP)","Will members apply NLT 9 months prior to DEROS?","Members","T-0"
"A2.2.5.1.","In-Place Base of Preference (FTA BOP)","Will AFPC/DP3AM consider members to remain at current location?","AFPC/DP3AM","T-0"
"A2.2.5.1.","In-Place Base of Preference (FTA BOP)","Will members apply between 8th and 15th month of enlistment?","Members","T-0"
"A2.2.5.1.","In-Place Base of Preference (FTA BOP)","Will members apply via vMPF?","Members","T-0"
"A2.2.5.2.","In-Place Base of Preference (FTA BOP)","Will approved IPBOP result in AAC 28?","Approved IPBOP","T-0"
"A2.2.5.2.","In-Place Base of Preference (FTA BOP)","Will the AAC expire 24 months from date of approval?","AAC","T-0"
"A2.2.6.1.","Procedures (FTA BOP)","Will members use vMPF to submit BOP applications?","Members","T-0"
"A2.2.6.2.","Procedures (FTA BOP)","Will vMPF provide application status updates?","vMPF","T-0"
"A2.2.6.3.","Procedures (FTA BOP)","Will members receive assignment notification via normal procedures if approved?","Members","T-0"
"A2.2.6.4.","Procedures (FTA BOP)","Will members receive disapproval notification via vMPF?","Members","T-0"
"A2.3.1.","Eligibility Criteria and Restrictions (Career BOP)","Will members be considered for reassignment under BOP?","Members","T-0"
"A2.3.1.","Eligibility Criteria and Restrictions (Career BOP)","Will members apply via MyVector?","Members","T-0"
"A2.3.1.1.","Eligibility Criteria and Restrictions (Career BOP)","Will members have minimum 4 years TOS?","Members","T-0"
"A2.3.1.2.","Eligibility Criteria and Restrictions (Career BOP)","Will members have minimum 48 months retainability?","Members","T-0"
"A2.3.1.3.","Eligibility Criteria and Restrictions (Career BOP)","Will members be qualified in primary AFSC?","Members","T-0"
"A2.3.1.4.","Eligibility Criteria and Restrictions (Career BOP)","Will members not have AACs restricting PCS?","Members","T-0"
"A2.3.1.5.","Eligibility Criteria and Restrictions (Career BOP)","Will members not be selected for PCS or TDY enroute?","Members","T-0"
"A2.3.1.6.","Eligibility Criteria and Restrictions (Career BOP)","Will members not have application pending for retraining/commissioning/separation?","Members","T-0"
"A2.3.1.7.","Eligibility Criteria and Restrictions (Career BOP)","Will members not have adverse quality force indicators?","Members","T-0"
"A2.3.1.8.","Eligibility Criteria and Restrictions (Career BOP)","Will consecutive BOPs require intervening PCS?","Consecutive BOPs","T-0"
"A2.3.2.1.","CONUS to CONUS BOP (Career BOP)","Will members submit requests via MyVector?","Members","T-0"
"A2.3.2.2.","CONUS to CONUS BOP (Career BOP)","Will approved BOP result in AAC 55?","Approved BOP","T-0"
"A2.3.2.2.","CONUS to CONUS BOP (Career BOP)","Will AAC expire 24 months from date arrived station?","AAC","T-0"
"A2.3.3.1.","In-Place BOP (Career BOP)","Will members submit requests via MyVector?","Members","T-0"
"A2.3.3.1.","In-Place BOP (Career BOP)","Will requests require minimum 8 months TOS?","Requests","T-0"
"A2.3.3.2.","In-Place BOP (Career BOP)","Will approved IPBOP result in AAC 55?","Approved IPBOP","T-0"
"A2.3.3.2.","In-Place BOP (Career BOP)","Will AAC expire 24 months from date of approval?","AAC","T-0"
"A2.3.4.1.","Procedures (Career BOP)","Will members use MyVector to submit BOP applications?","Members","T-0"
"A2.3.4.2.","Procedures (Career BOP)","Will MyVector provide application status updates?","MyVector","T-0"
"A2.3.4.3.","Procedures (Career BOP)","Will members receive assignment notification via normal procedures if approved?","Members","T-0"
"A2.3.4.4.","Procedures (Career BOP)","Will members receive disapproval notification via MyVector?","Members","T-0"
"A2.4.1.","Eligibility Criteria and Restrictions (Home Basing)","Will members returning from overseas or completing special duty be considered?","Members","T-0"
"A2.4.1.","Eligibility Criteria and Restrictions (Home Basing)","Will members apply via MyVector?","Members","T-0"
"A2.4.1.1.","Eligibility Criteria and Restrictions (Home Basing)","Will members have minimum 48 months retainability?","Members","T-0"
"A2.4.1.2.","Eligibility Criteria and Restrictions (Home Basing)","Will members not have AACs restricting PCS?","Members","T-0"
"A2.4.1.3.","Eligibility Criteria and Restrictions (Home Basing)","Will members not have adverse quality force indicators?","Members","T-0"
"A2.4.2.1.","Procedures (Home Basing)","Will members use MyVector to submit applications?","Members","T-0"
"A2.4.2.2.","Procedures (Home Basing)","Will MyVector provide application status updates?","MyVector","T-0"
"A2.4.2.3.","Procedures (Home Basing)","Will members receive assignment notification via normal procedures if approved?","Members","T-0"
"A2.4.2.4.","Procedures (Home Basing)","Will members receive disapproval notification via MyVector?","Members","T-0"
"A2.4.2.5.","Procedures (Home Basing)","Will approved home basing result in AAC 55?","Approved home basing","T-0"
"A2.4.2.5.","Procedures (Home Basing)","Will AAC expire 24 months from date arrived station?","AAC","T-0"
"A3.2.1.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will members volunteer for VSBAP?","Members","T-0"
"A3.2.1.1.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will volunteers have minimum 48 months retainability (or 60 for specific locations)?","Volunteers","T-0"
"A3.2.1.2.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will volunteers not have AACs restricting PCS?","Volunteers","T-0"
"A3.2.1.3.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will volunteers not have adverse quality force indicators?","Volunteers","T-0"
"A3.2.1.4.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will volunteers not be selected for PCS/TDY enroute?","Volunteers","T-0"
"A3.2.1.5.","Eligibility Criteria and Restrictions (Voluntary Stabilized Base)","Will volunteers not have pending retraining/commissioning/separation applications?","Volunteers","T-0"
"A3.2.2.","Procedures (Voluntary Stabilized Base)","Will AFPC advertise locations/AFSCs/grades via MyPers?","AFPC","T-0"
"A3.2.2.1.","Procedures (Voluntary Stabilized Base)","Will members submit VSBAP applications via MyVector?","Members","T-0"
"A3.2.2.2.","Procedures (Voluntary Stabilized Base)","Will AFPC process requests based on manning/qualifications/AF needs?","AFPC","T-0"
"A3.2.2.3.","Procedures (Voluntary Stabilized Base)","Will MyVector provide application status updates?","MyVector","T-0"
"A3.2.2.4.","Procedures (Voluntary Stabilized Base)","Will approved members receive assignment notification via normal procedures?","Approved members","T-0"
"A3.2.2.5.","Procedures (Voluntary Stabilized Base)","Will disapproved members receive notification via MyVector?","Disapproved members","T-0"
"A3.2.2.6.","Procedures (Voluntary Stabilized Base)","Will approved VSBAP result in AAC 56?","Approved VSBAP","T-0"
"A3.2.2.6.","Procedures (Voluntary Stabilized Base)","Will AAC expire 48 or 60 months from date arrived station?","AAC","T-0"
"A3.3.","Tour Completion/Curtailment (Voluntary Stabilized Base)","Will members be reassigned if tour not completed?","Members","T-0"
"A3.3.","Tour Completion/Curtailment (Voluntary Stabilized Base)","Will members depart NET VSBAP tour completion date?","Members","T-0"
"A4.1.","Special Duty Assignments","Will Special Duty Assignment selection/assignment process be IAW DAFI 36-2670?","Special Duty Assignment selection/assignment process","T-0"
"A5.2.1.","Application Requirements (Join Spouse)","Will members indicate Join Spouse intent/preference via MyVector?","Members","T-0"
"A5.2.2.","Application Requirements (Join Spouse)","Will members married after assignment selection submit AF Form 965?","Members","T-0"
"A5.2.3.","Application Requirements (Join Spouse)","Will members update MyVector preferences/intent when marriage/separation/divorce occurs?","Members","T-0"
"A5.2.4.","Application Requirements (Join Spouse)","Will members notify MPF/AFPC/ETMO if already selected for assignment?","Members","T-0"
"A5.3.","Assignment Considerations (Join Spouse)","Will AFPC/ETMO make every effort to assign military couples together?","AFPC/ETMO","T-0"
"A5.3.1.","Assignment Considerations (Join Spouse)","Will couples be assigned to same location if vacancies exist?","Couples","T-0"
"A5.3.2.","Assignment Considerations (Join Spouse)","Will AFPC/ETMO consider assigning couples to different locations within 100 miles?","AFPC/ETMO","T-0"
"A5.3.3.","Assignment Considerations (Join Spouse)","Will AFPC/ETMO provide Join Spouse assignment consideration?","AFPC/ETMO","T-0"
"A5.3.3.","Assignment Considerations (Join Spouse)","Will AFPC/ETMO consider one member for mandatory PCS while other remains?","AFPC/ETMO","T-0"
"A5.3.3.","Assignment Considerations (Join Spouse)","Will AFPC/ETMO consider assigning both members to satisfy DAF requirements?","AFPC/ETMO","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will assignments normally be to locations where both can serve concurrently?","Assignments","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will members be assigned to locations where dependent travel is authorized?","Members","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will assignments not restrict subsequent assignment consideration?","Assignments","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will TOS requirements be waived if necessary?","TOS requirements","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will Join Spouse consideration take precedence over other assignment preferences?","Join Spouse consideration","T-0"
"A5.3.4.","Assignment Considerations (Join Spouse)","Will members desiring different consideration request exception to policy?","Members","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will assignment limitations apply?","Assignment limitations","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will assignments of family members be IAW para 3.14?","Assignments of family members","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will ALC codes restrict Join Spouse consideration?","ALC codes","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will Join Spouse consideration not apply for student/trainee/pipeline status?","Join Spouse consideration","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will Join Spouse consideration not apply for members pending separation/retirement?","Join Spouse consideration","T-0"
"A5.3.5.","Assignment Considerations (Join Spouse)","Will Join Spouse consideration not apply for members pending retraining/formal school?","Join Spouse consideration","T-0"
"A5.4.1.","Assignment Procedures (Join Spouse)","Will AFPC/ETMO use assignment intent codes from MyVector?","AFPC/ETMO","T-0"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will coordination occur between assignment OPRs?","Coordination","T-0"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will assignment notification/instructions be sent concurrently?","Assignment notification/instructions","T-0"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will AAC 32 be updated if location separation necessary?","AAC 32","T-0"
"A5.4.3.","Assignment Procedures (Join Spouse)","Will retainability be IAW para 6.28?","Retainability","T-0"
"A5.4.4.","Assignment Procedures (Join Spouse)","Will assignment selections be made considering Join Spouse intent?","Assignment selections","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will members be assigned together to same location?","Members","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will OCONUS assignments be processed first?","OCONUS assignments","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will members receive concurrent consideration?","Members","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will one member be assigned to location with limited vacancies?","One member","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will members be assigned together to same location?","Members","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will OCONUS assignments be processed first?","OCONUS assignments","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will members receive concurrent consideration?","Members","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will assignment location be determined by DAF needs if joint assignment not possible?","Assignment location","T-0"
"A5.4.4.3.","Intent Code ""H"" (Join Spouse)","Will assignment consideration be deferred?","Assignment consideration","T-0"
"A5.4.4.3.","Intent Code ""H"" (Join Spouse)","Will members update intent code when ready for assignment?","Members","T-0"
"A6.2.","Application (Mil-to-Mil Pregnant Spouse)","Will member submit request IAW para 6.19?","Member","T-0"
"A6.3.","Assignment Procedures (Mil-to-Mil Pregnant Spouse)","Will AFPC/ETMO coordinate actions?","AFPC/ETMO","T-0"
"A6.3.","Assignment Procedures (Mil-to-Mil Pregnant Spouse)","Will actions be IAW para 6.18?","Actions","T-0"
"A7.2.","Request for Consideration (Former POW)","Will former POWs submit requests via vMPF or AF Form 965?","Former POWs","T-0"
"A7.3.","Assignment Procedures (Former POW)","Will AFPC/DP3AM give priority consideration?","AFPC/DP3AM","T-0"
"A15.4.3.","Identifying and Reporting Humanitarian Conditions","Will the member notify their MPF if the circumstances of the situation change and the request is still pending, or a reassignment has been approved but the member has not departed?","Member","T-3"
"A15.4.3.","Identifying and Reporting Humanitarian Conditions","Will the MPF provide this information to AFPC/DPFXAA who will make the final decision and provide a response by email message?","MPF","T-3"
"A15.6.1.","Assignment Considerations for Members with Humanitarian Conditions","Will a member stationed overseas and requesting reassignment overseas agree to serve the prescribed tour length at the new location or at least a tour length equal to the combined unaccompanied tour lengths at the old and new locations, whichever is greater?","Member","T-1"
"A15.6.1.","Assignment Considerations for Members with Humanitarian Conditions","Will the computation resulting in the greatest combined overseas tour period being served be the required minimum?","Computation","T-1"
"A15.6.1.","Assignment Considerations for Members with Humanitarian Conditions","Will the variable be the amount of time the member has been assigned to the current location?","Variable","T-1"
"A15.7.3.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on the desire to provide care for a parent or parent-in-law when adequate care arrangements have been made and the member’s presence will not contribute to the long-term resolution of the problem be usually disapproved?","Request","T-3"
"A15.7.6.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on problems resulting from family separation incident to military assignment unless the spouse is under the care of a physician for a severe physical or mental illness that developed after the member’s departure and prognosis is the condition will continue for an extended period be usually disapproved?","Request","T-3"
"A15.7.8.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on the desire to settle marital problems, including contemplated divorce, or to provide care for children when marital problems exist (unless the member is a single parent and has no other recourse but to request reassignment or deferment to establish adequate child care arrangements) be usually disapproved?","Request","T-3"
"A15.7.9.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on pregnancy of the member’s spouse (unless the member’s presence is determined essential by the attending physician based on medical complications and such a situation developed after the member’s PCS selection notification) be usually disapproved?","Request","T-3"
"A15.7.11.","Reasons Humanitarian Requests are Usually Disapproved","Will a request for reassignment to obtain adequate housing be usually disapproved?","Request","T-3"
"A15.7.12.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on the desire to provide care for children while the member’s civilian spouse pursues employment or education opportunities be usually disapproved?","Request","T-3"
"A15.7.13.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on financial problems resulting from mismanagement or overextension of personal finances be usually disapproved?","Request","T-3"
"A15.7.14.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on financial problems resulting from a spouse’s unemployment, unless the unemployment is the result of a condition meeting humanitarian criteria, be usually disapproved?","Request","T-3"
"A15.7.15.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on home ownership problems unless the problem is a direct result of recent PCS selection and the member can show that undue hardship will result if not released from assignment or deferred be usually disapproved?","Request","T-3"
"A15.7.16.","Reasons Humanitarian Requests are Usually Disapproved","Will a request based on conditions that existed before entry into the active component be usually disapproved?","Request","T-3"
"A15.7.18.","Reasons Humanitarian Requests are Usually Disapproved","Will a request for deferment if the member has not been selected and notified of reassignment or TDY in excess of 30 calendar days be usually disapproved?","Request","T-3"
"A15.8.1.","Processing Humanitarian Requests","Will the commander's recommendation include additional information or evidence of material value which might include a statement from the member’s first sergeant and/or chaplain?","Commander","T-3"
"A15.8.1.","Processing Humanitarian Requests","Will the commander provide complete justification if they recommend disapproval?","Commander","T-3"
"A15.8.1.","Processing Humanitarian Requests","Will the commander's endorsement include information about the existence (or lack thereof) of the documented family care plan if the request is based on spouse's inability to manage the household in the member's absence due to unique family situations?","Commander's endorsement","T-3"
"A15.8.2.","Processing Humanitarian Requests","Will members serving an accompanied overseas assignment requesting reassignment based on required services for family members provide applicable medical documentation from the Special Needs Coordinator at the local MTF?","Member","T-3"
"A15.8.3.","Processing Humanitarian Requests","Will both members of a military couple submit a request if the same assignment consideration is desired?","Both members","T-3"
"A15.8.3.","Processing Humanitarian Requests","Will respective commander endorsements be required when both members apply?","Commander endorsements","T-3"
"A15.8.4.","Processing Humanitarian Requests","Will the local Special Needs Coordinator review and provide input on all humanitarian requests which are medical or educational in nature?","Special Needs Coordinator","T-3"
"A15.8.4.","Processing Humanitarian Requests","Will input address the availability of required resources within the current assignment locale?","Input","T-3"
"A15.8.5.","Processing Humanitarian Requests","Will the final approval/disapproval authority be AFPC/DPFXAA?","AFPC/DPFXAA","T-2"
"A15.10.","Withdrawing a Request","Will the member submit the request in writing to either the MPF or AFPC/DPFXAA immediately if they want to withdraw their request before a final decision or departure on reassignment?","Member","T-2"
"A15.10.","Withdrawing a Request","Will the request no longer be withdrawn once a member has departed on a humanitarian reassignment?","Request","T-2"
"A15.10.","Withdrawing a Request","Will a request to withdraw an approved humanitarian reassignment provided based on lack of required medical resources or life-threatening environmental factors not be favorably considered unless the situation has significantly changed?","Request","T-2"
"A15.10.","Withdrawing a Request","Will input from the senior non-commissioned officer/Chief of Medical Staff be required along with the member's request for this type of withdrawal request?","Input","T-2"
"A15.11.1.","Humanitarian Assignment/TDY Restrictions","Will the member not PCS during the 12-month deferment period when granted a reassignment or deferment under the humanitarian program (AAC 30)?","Member","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will TDY restriction not automatically apply to humanitarian requests unless specifically addressed in approval correspondence from AFPC/DPFXAA?","TDY restriction","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will a member subject to TDY and requesting a restriction obtain a statement from the attending medical or therapy provider?","Member","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will the statement specify the need for the member's presence and the duration of the requirement?","Statement","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will this statement be submitted at the time of the request?","Statement","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will a TDY restriction request normally be approved only on an initial humanitarian request?","TDY restriction request","T-2"
"A15.11.2.","Humanitarian Assignment/TDY Restrictions","Will the MPF place the member in deployment availability code ""43"" as directed by AFPC/DPFXAA when a TDY restriction is requested and approved?","MPF","T-2"
"A15.11.3.","Humanitarian Assignment/TDY Restrictions","Will the member be considered for intra-command reassignment to another organization on the same base if their parent organization is relocated or deactivated before expiration of the assignment restriction?","Member","T-2"
"A15.11.3.","Humanitarian Assignment/TDY Restrictions","Will reassignment instructions be provided by AFPC/DPFXAA if no authorization for their specialty exists on base, or if the base is being deactivated?","Reassignment instructions","T-2"
"A16.1.1.","AFPC/DPMLW Technical Training Graduates (TTG) Assignments Section Processing and Procedures Responsibilities","Will projected departure date and RNLTD be based upon graduation date plus 30 days for CONUS assignments and graduation date plus 45 days for overseas assignments?","projected departure date and RNLTD","T-2"
"A16.1.1.1.","AFPC/DPMLW Technical Training Graduates (TTG) Assignments Section Processing and Procedures Responsibilities","Will this preclude a requirement to request a change to the RNLTD and member to not use more leave than desired?","Requirement change","T-2"
"A16.1.1.1.","AFPC/DPMLW Technical Training Graduates (TTG) Assignments Section Processing and Procedures Responsibilities","Will reporting overseas prior to the RNLTD month not result in a Category 1 PCS Processing Discrepancy under such circumstances?","Reporting overseas","T-2"
"A16.2.1.","Organizational Responsibilities","Will the Training Wing (TRW) schedule students for wing-controlled follow-on training immediately upon entry into the basic course at the TRW?","Training Wing (TRW)","T-2"
"A16.2.2.","Organizational Responsibilities","Will the 319th Training Squadron at Lackland AFB report Basic Military Training students classification no later than the end of the fourth week of training?","319th Training Squadron","T-2"
"A16.2.2.","Organizational Responsibilities","Will they schedule and update in the MilPDS immediately after classification?","Classification scheduling/update","T-2"
"A16.2.2.","Organizational Responsibilities","Will TRW registrars report the students entry into operational training school, a change in technical training schedule, or completion of technical school to 2 AF, Det 1?","TRW registrars","T-2"
"A16.2.3.","Organizational Responsibilities","Will 2 AF, Det 1 report any changes to course identification number to AFPC/DPMLWA by email as soon as possible after the class has been activated?","2 AF, Det 1","T-2"
"A16.3.1.","TRW MPF Student Assignment Section","Will the MPF notify the student, through the unit commander, of the assignment within 5 duty days after receipt?","MPF","T-1"
"A16.3.1.","TRW MPF Student Assignment Section","Will the MPF also establish a relocation folder and notify the training squadron of all required assignment actions for the assignment, according to DAFMAN 36-2102?","MPF","T-2"
"A16.3.3.","TRW MPF Student Assignment Section","Will the chief of the student assignments section establish local procedures to ensure special requirements are accomplished in the most expedient manner?","chief of the student assignments section","T-3"
"A16.3.3.","TRW MPF Student Assignment Section","Will the process for requirements to be completed and orders processed for the student be completed within 15 duty days?","Process","T-3"
"A16.4.2.2.","Student SWAP Program","Will the member acknowledge that approval is based on Air Force or Space Force requirements and may require the member to serve a different tour length?","Member","T-1"
"A16.4.2.2.","Student SWAP Program","Will the member withdraw the application if the student does not desire assignment based on retainability or tour length?","Member","T-1"
"A16.5.1.","Elimination from Training","Will technical training students eliminated from training be removed from the projected assignment?","Technical training students","T-1"
"A16.5.1.","Elimination from Training","Will students be reassigned locally or PCS as determined by 2 AF, DET 1 and AFPC/DPMLWA?","Students","T-1"
"A16.6.1.","Change in Graduation Date","Will the MPF Student Assignment Section request PCS amendment instructions via CMS to AFPC/DPMLWA when the graduation date is changed 30 or more calendar days?","MPF Student Assignment Section","T-1"
"A16.6.1.","Change in Graduation Date","Will the request state the reason for the change, the new graduation date, the original RNLTD, and the member’s leave election?","Request","T-1"
"A16.6.1.","Change in Graduation Date","Will requests for less than 30 calendar days require a new DAF Form 899 and the previous DAF Form 899 be rescinded by the local MPF?","Requests","T-1"
"A16.6.2.","Change in Graduation Date","Will AFPC/DPMLWA review the case to determine if the original assignment is still valid and provide new assignment instructions by CMS reply or return email within 5 duty days upon receipt of the CMS request or email?","AFPC/DPMLWA","T-1"
"A16.7.2.","Assignment Cancellations","Will the member receive a new assignment notification?","Member","T-1"
"A16.8.1.1.","Officer Reassignment upon Graduation from Undergraduate Flying Training (RegAF and ARC only)","Will Pilot Training graduates who volunteer or are selected for assignments requiring follow-on specialized training attend the required course as students?","Pilot Training graduates","T-1"
"A16.8.1.2.","Officer Reassignment upon Graduation from Undergraduate Flying Training (RegAF and ARC only)","Will officers with no PCS ADSC after completion of training or who require less than 3 months of additional active duty service beyond the ADSC for the training be considered for PCS to the gaining location?","Officers","T-1"
"A16.8.1.3.","Officer Reassignment upon Graduation from Undergraduate Flying Training (RegAF and ARC only)","Will officers selected for overseas assignments be encouraged to depart from the CONUS NLT 30 calendar days after the graduation date?","Officers","T-1"
"A16.8.1.3.","Officer Reassignment upon Graduation from Undergraduate Flying Training (RegAF and ARC only)","Will any additional time required be requested as a change of RNLTD according to paragraph 6.32?","Additional time","T-1"
"A16.8.2.1.","Student Officers Eliminated from Undergraduate Flying Training","Will AETC/A1KO forward the names of officers eliminated from undergraduate flying training to the AFPC/DPML assignment teams for reassignment?","AETC/A1KO","T-1"
"A16.8.2.1.","Student Officers Eliminated from Undergraduate Flying Training","Will AETC/A1KO include any reclassification recommendations from the Flying Training Reclassification Board?","AETC/A1KO","T-1"
"A16.8.2.2.","Student Officers Eliminated from Undergraduate Flying Training","Will the assignment OPR evaluate the board recommendations and the officer’s qualifications and make a final decision on reassignment?","assignment OPR","T-1"
"A16.8.2.2.","Student Officers Eliminated from Undergraduate Flying Training","Will officers selected for reclassification into nonrated operations AFSCs not be reassigned until completion of technical training?","Officers","T-1"
"A16.8.2.3.","Student Officers Eliminated from Undergraduate Flying Training","Will assignment OPRs refer officers who do not desire or are not selected for reclassification to AFPC/DPMST for separation processing?","assignment OPRs","T-1"
"A16.9.1.","AFROTC Graduate Assignments","Will HQ AFROTC/RRUE forward the commissioning documents to the applicable assignment OPR for assignment processing upon verification of graduation and commissioning?","HQ AFROTC/RRUE","T-1"
"A16.9.2.","AFROTC Graduate Assignments","Will Assignment OPRs use the Airman Development Plan to match members with Air Force requirements?","Assignment OPRs","T-1"
"A16.10.1.","OTS Graduate Assignments","Will the OTS Student Processing Section forward the commissioning documents to the applicable assignment OPR for assignment processing upon verification of graduation and commissioning?","OTS Student Processing Section","T-1"
"A16.10.2.","OTS Graduate Assignments","Will Assignment OPRs use the Airman Development Plan to match members with Air Force requirements?","Assignment OPRs","T-1"
"A16.11.","Medical Officer Assignments (RegAF and ARC only)","Will Medical service officers assigned from civilian institutions or other commissioning programs be considered to fill requirements at any medical facility upon completion of medical residency?","Medical service officers","T-1"
"A16.12.","Chaplain Candidate Program Appointments","Will Members appointed to the Chaplain Candidate Program not receive an assignment until graduation from seminary or ecclesiastical endorsement has been received?","Members","T-1"
"A16.13.","JAG Assignments","Will AF/JA have assignment authority for all JAG officers and coordinate assignments directly with the individual?","AF/JA","T-1"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will coordination occur between assignment OPRs?","Coordination","T-0"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will assignment notification/instructions be sent concurrently?","Assignment notification/instructions","T-0"
"A5.4.2.","Assignment Procedures (Join Spouse)","Will AAC 32 be updated if location separation necessary?","AAC 32","T-0"
"A5.4.3.","Assignment Procedures (Join Spouse)","Will retainability be IAW para 6.28?","Retainability","T-0"
"A5.4.4.","Assignment Procedures (Join Spouse)","Will assignment selections be made considering Join Spouse intent?","Assignment selections","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will members be assigned together to same location?","Members","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will OCONUS assignments be processed first?","OCONUS assignments","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will members receive concurrent consideration?","Members","T-0"
"A5.4.4.1.","Intent Code ""A"" (Join Spouse)","Will one member be assigned to location with limited vacancies?","One member","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will members be assigned together to same location?","Members","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will OCONUS assignments be processed first?","OCONUS assignments","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will members receive concurrent consideration?","Members","T-0"
"A5.4.4.2.","Intent Code ""B"" (Join Spouse)","Will assignment location be determined by DAF needs if joint assignment not possible?","Assignment location","T-0"
"A5.4.4.3.","Intent Code ""H"" (Join Spouse)","Will assignment consideration be deferred?","Assignment consideration","T-0"
"A5.4.4.3.","Intent Code ""H"" (Join Spouse)","Will members update intent code when ready for assignment?","Members","T-0"
"A6.2.","Application (Mil-to-Mil Pregnant Spouse)","Will member submit request IAW para 6.19?","Member","T-0"
"A6.3.","Assignment Procedures (Mil-to-Mil Pregnant Spouse)","Will AFPC/ETMO coordinate actions?","AFPC/ETMO","T-0"
"A6.3.","Assignment Procedures (Mil-to-Mil Pregnant Spouse)","Will actions be IAW para 6.18?","Actions","T-0"
"A7.2.","Request for Consideration (Former POW)","Will former POWs submit requests via vMPF or AF Form 965?","Former POWs","T-0"
"A7.3.","Assignment Procedures (Former POW)","Will AFPC/DP3AM give priority consideration?","AFPC/DP3AM","T-0"
"A17.1.","AD Sanctuary Management General","Will procedures ensure ARC members are not inadvertently placed in AD sanctuary?","Procedures","T-1"
"A17.2.1.","Application (AD Sanctuary)","Will AD sanctuary apply to ARC members ordered to AD except for specified exclusions?","AD sanctuary","T-1"
"A17.2.2.","Application (AD Sanctuary)","Will AD sanctuary not apply to ARC members serving on AD under specified statutes/conditions?","AD sanctuary","T-1"
"A17.3.","Waiver Requirement","Will ARC members complete AD sanctuary waiver prior to serving on AD tour that qualifies for sanctuary?","ARC members","T-1"
"A17.3.","Waiver Requirement","Will members be required to have a waiver on file to remain on AD beyond 16 years TAFMS?","Members","T-1"
