section_number,section_title,content
8.7,,Involuntary Discharge.  Commanders may initiate involuntary discharge actions for officers  and enlisted personnel in accordance with AFI 36-3209. AGR members selected for non-retention  in accordance with ANGI 36-2651 will be notified not less than 180 days from official notification  of non-retention by TAG or the CG.
8.8,,"Mandatory Separation.  Personnel will be separated, regardless of the expiration date of  their current AGR tour, for the following reasons:"
8.8.1,,"Officer Mandatory Separation Date (MSD). Except for those who have entered  sanctuary under the provisions of 10 USC § 12646 or 10 USC § 12686, officers will be  separated by their MSD established by law. Any officers who have entered sanctuary, and do  not consent to being separated as addressed in DAFI 36-2110, may submit a request to have  their MSD extended to the date in which they reach their regular or non-regular retirement  eligibility. The request must be initiated by the officer, coordinated through his/her chain of  command (to include the HRO for awareness) and submitted by the MPMO to NGB/A1PP to  have the MSD updated in MilPDS to reflect either the first day of the month after the officer  reaches regular retirement eligibility (10 USC § 12686) or the date the officer reaches non- regular retirement eligibility (10 USC § 12646). See Table 5.2. of AFI 36-3203 for more  information regarding the conditions under which officers may request to be retained beyond  retirement eligibility."
8.8.2,,"Enlisted Mandatory Separation Date. The ANG establishes a high year tenure (HYT)  for all enlisted Airmen at age 60. In certain situations, either TAG, CG, or NGB/A1PP can  approve a member’s request to serve beyond the age of 60 – but no later than age 62 as outlined  in AFI 36-2606. Any enlisted members who have entered sanctuary under the provisions of 10  USC § 12686 or 10 USC § 1176(b), and do not consent to being separated as addressed in  DAFI 36-2110, may submit a HYT extension request to have their HYT extended to the date  in which they reach their regular or non-regular retirement eligibility. The request must be  initiated by the member, coordinated through his/her chain of command (to include the HRO  for awareness) and submitted by the MPMO to NGB/A1PP to have their enlisted MSD  extended to reflect either the first day of the month after the member reaches regular retirement  eligibility (10 USC § 12686) or the date the member reaches non-regular retirement eligibility  (10 USC § 1176(b)). See AFI 36-2606 for more information regarding the conditions under  which enlisted members may request to be retained beyond age 60."
8.8.3,,"Security Clearance. The required security clearance is withdrawn, cancelled, or cannot  be obtained."
8.8.4,,Civilian or Military Conviction. Conviction by civilian or military authorities for a  disqualifying offense in accordance with AFI 36-3209.   40  ANGI36-101  21 APRIL 2022
8.8.5,,Twice Deferred Officers. An officer who is twice deferred for promotion according to  the provisions of AFI 36-3209 and AFI 36-3203.
8.8.6,,Air Force Specialty (AFS) Qualification. An AGR member fails to meet AFS  qualification standards.
8.9,,"Regular Retirement.  Personnel who accrue at least 20 years of TAFMS may retire under  the provisions of 10 USC § 9311 or 9314 with a regular retirement. For further guidance, refer to:  http://arpc.afrc.af.mil/retirements/retirements.htm."
8.9.1,,"AGR members may apply for a regular retirement one (1) year prior to completion of  at least 20 years of TAFMS. The application for retirement must be submitted no earlier than  12 months and not later than six months prior to the effective date of retirement. If the  expiration of a member’s AGR order is later than the requested retirement effective date, he/she  must apply for and receive approval for curtailment of the AGR tour prior to submitting the  application for retirement."
8.9.2,,"Applications for regular retirement will be processed in accordance with AFI 36-3203.  Title 32 AGR members will apply for retirement via the virtual Personnel Center (vPC)  website. Retirement restrictions or prohibitions are referenced in Chapter 3 of AFI 36-3203.  If/when approved, ARPC will issue the retirement order and process actions to DFAS."
8.9.3,,Service requirements established in AFI 36-3203 must be met for Airmen to retire in  their current grade.
8.9.4,,Entitlement to movement of household goods is processed in accordance with AFI 36- 3203.
8.9.5,,AGR officers with prior enlisted service must have at least 10 years of AD service as a  commissioned officer to retire at their commissioned grade in accordance with Chapter 3 of  AFI 36-3203.
8.10,,Non-regular Retirement.  AGR members may apply for a non-regular retirement upon  completion of 20 years of satisfactory service.
8.10.1,,"Applications for reserve retirement will be processed in accordance with AFI 36-3203.  Members will apply for retirement through the vPC website. Retirement restrictions or  prohibitions are referenced in Chapter 3 of AFI 36-3203. If/when approved, ARPC will issue  the retirement order and process actions to DFAS."
8.10.2,,"If the expiration of a member’s AGR order is later than the requested retirement  effective date, he/she must apply for and receive approval for curtailment of the AGR tour  prior to submitting the application for retirement."
8.11,,Documentation of Service.
8.11.1,,The FSS will issue a DD Form 214 to Airmen separating from the AGR program and  remaining as a DSG in accordance with AFI 36-3202. A DD Form 214 for an AGR  separation/retirement is accomplished by ARPC/DPT.
8.11.2,,"If an Airman’s release from the AGR program is prior to being discharged from the  ANG and the character of service is other than “Honorable”, enter the statement “To be  determined by discharge proceedings” on the DD Form 214 in item 24. Upon completion of  discharge proceedings, a DD Form 215, Correction to DD Form 214, Certificate of Release or   ANGI36-101  21 APRIL 2022  41  Discharge from Active Duty, must be completed to correct the DD Form 214 to reflect the  appropriate characterization of service.   42  ANGI36-101  21 APRIL 2022  Chapter 9  AGR CONTINUATION BOARD"
9.1,,"AGR Continuation Board (ACB).  TAG or the CG determines if an ACB will convene.  While an ACB is not mandatory, it provides Wing, Group, and Unit Commanders, supervisors,  and AGR members an opportunity to participate in retention decisions affecting assigned AGR  personnel. The ACB may review and recommend selection for entry into the career program and/or  continuation beyond 20 years of TAFMS. Separation from the AGR program under this chapter is  not considered punitive in nature and will not be used where separation for cause is more  appropriate."
9.2,,Purpose.  Proper management of the AGR Program requires a constant evaluation of the  dynamics of the composition of the force. The ACB:
9.2.1,,Ensures only the most capable Airmen serve.
9.2.2,,Affords Airmen promotion and career development opportunities.
9.2.3,,"Allows for force-shaping based on force structure and the needs of the unit, state, and  ANG."
9.3,,Responsibilities.
9.3.1,,The Adjutant General or Commanding General:
9.3.1.1,,Determines if an ACB will convene.
9.3.1.2,,Provides administrative guidance to the President and receives the board  proceedings.
9.3.1.3,,Approves the board proceedings or directs a reconvening of the board within 30  days of receipt of the proceedings.
9.3.1.4,,Convenes special ACBs in order to consider records either (1) incidentally omitted  from the original board or (2) requiring reconsideration due to their containing some  material error in the original ACB.
9.3.2,,Human Resource Officer (HRO) and AGR Manager:
9.3.2.1,,"Identify and notify AGR members whose records will be reviewed by the ACB  no later than 90 days prior to the board convening. The HRO/AGR Manager will provide  an ACB Worksheet as a means of notifying each member being considered at the ACB  with instructions to return it by the assigned suspense date after it has been completed by  the member and endorsed by the member's chain of command. The HRO/AGR Manager  will review all ACB Worksheets to ensure supervisor and commander recommendations,  to include Airman’s signature of acknowledgement, are received. Note: Individuals on  occasional or AGR deployment backfill tours are term-limited and will not meet an ACB  for consideration of career status."
9.3.2.2,,"Publish a Memorandum of Instruction (MOI) for use by ACB members. The MOI  will include the composition, administrative support, and guidance on the conduct of the  board as directed by TAG or the CG.   ANGI36-101  21 APRIL 2022  43"
9.3.2.3,,Provide a qualified technical advisor to assist the President with any technical  questions pertaining to the AGR program.
9.3.2.4,,Ensure ACBs are conducted in a timeframe which allows Airmen on a one-year  initial tour to be notified at least 30 days prior to their tour end date that they are being  reviewed and all other AGR members being reviewed to be notified at least 180 days prior  to their tour end date.
9.3.2.5,,Airmen should be notified in writing of the ACB results no later than 30 days after  TAG or the CG approve the board’s proceedings.
9.3.2.6,,Separate AGR Airmen not recommended for continuation in the AGR Program  upon the expiration of their current orders.
9.3.2.7,,Extend the orders of those AGR Airmen selected for entry into the career program  or selected for continuation beyond 20 years of TAFMS.
9.4,,ACB Composition.  TAG or the CG will appoint members to the board using the AGR  Continuation Board Appointment Memorandum template found in Attachment 6 of this  instruction. The board is subject to the following criteria:
9.4.1,,"Boards will be comprised of at least three voting members who are officers of equal or  higher grade to those being considered, the ANG State Command Chief Master Sergeant  (CCM) or a Chief Master Sergeant senior in grade to any of the enlisted members being  considered, and two non-voting members who will provide technical assistance (one board  advisor and one recorder). The board should be diverse in gender and ethnicity. Relatives of  Airmen being considered will not be appointed as ACB members."
9.4.1.1,,"The board will normally consist of the ANG State Command Chief Master  Sergeant (CCM) but must have at least one Chief Master Sergeant as a member. The CCM  or CMSgt board member will only have voting privileges on enlisted records meeting the  board. The CCM, by nature of the position, is considered senior in grade to any of the  enlisted members being considered at the ACB regardless of anyone’s date of rank."
9.4.1.2,,The senior officer in a federally recognized grade will be the board President.
9.4.2,,AGR Airmen being considered will not be appointed as ACB members.
9.4.3,,All board members will be present for all sessions.
9.4.4,,The Board Advisor will be a qualified technical advisor selected by the HRO to assist  the President with technical questions pertaining to the AGR program.
9.4.5,,"The members of the board should collectively possess a wide array of command,  management, and technical expertise."
9.4.6,,The recommendations of the ACB are advisory only and must be approved by TAG or  the CG.
9.5,,ACB Schedule.  ACBs are normally convened annually (during the first quarter of the  calendar year) to review AGR Airmen who have an AGR order expiration date during the next  calendar year. These records must be reviewed for entry into the career program (end of  initial/probationary tour or probationary tour extension) and/or for continuation beyond 20 years  of TAFMS.   44  ANGI36-101  21 APRIL 2022
9.6,,"ACB Pre-Board Process.  The HRO will identify and notify AGRs who will be reviewed by  the convening ACB for either career status and/or continuation beyond 20 years of TAFMS no  later than 90 days prior to convening the ACB (see Attachment 7, Pre-review AGR Continuation  Board (ACB) Notification Memorandum (Individual)). AGR members will be provided an ACB  Worksheet (see Attachment 8, AGR Continuation Board (ACB) Worksheet). Additionally, the  commander will be notified and provided a suspense for return of the ACB Worksheet to the HRO  no later than 30 days prior to the scheduled ACB (see Attachment 9, Pre-review AGR  Continuation Board (ACB) Notification Memorandum (Commander))."
9.6.1,,Individuals must complete and return the endorsed ACB Worksheet through their  appropriate chain of command to reach HRO by the assigned suspense date.
9.6.1.1,,ACB Worksheet Non-Concurrence. Written documentation shall be provided to  the board for consideration anytime there is non-concurrence in the reviewing chain.
9.6.2,,"If the Airman believes the documents are inaccurate or incomplete, he or she must bring  the purported deficiency in writing to the attention of the HRO as soon as possible - but no  later than 15 days prior to the board."
9.6.3,,"If the Airman does not concur with the commander’s recommendation on the ACB  Worksheet, he/she may submit a personal letter to the ACB. The letter may describe any matter  of record concerning the Airman believed to be important for the board to consider. Letters of  recommendation from other individuals cannot be submitted. All the information in the  Airman’s letter must be accurate, and the Airman must provide evidence to support any  questioned information if called on to do so. To be considered by the ACB, the letter must be  addressed to the ACB and received by the HRO no later than 15 days prior to the date the board  convenes."
9.7,,Conducting the ACB.
9.7.1,,All proceedings will be held in closed session. AGR Airmen being considered by the  ACB will receive fair and impartial consideration. The ACB will be free from any improper  command influence or other influence(s) that could impact the performance of the board’s  duties. Board members may not discuss or consider any outside communication or material  not otherwise contained in the material properly presented before the ACB. Board members  will not communicate with anyone outside the board membership in reference to the board  proceedings. Individuals appointed to the ACB will be administered the oath outlined in  Attachment 10. The board recorder will review all documents for completeness before the  board convenes.
9.7.2,,No Airmen will appear in person before the board.
9.7.3,,"The ACB reviews enlisted and officer AGR Airmen for entry into “career status” and/or  for continuation beyond 20 years of TAFMS. Each Airman being reviewed by the ACB will  complete the ACB Worksheet, documenting the member’s career intentions and the  recommendations from the member’s supervisor and chain of command, and the board will  review all completed ACB Worksheets. It is not the responsibility of the board to screen AGR  records to determine whether AGR Airmen have met the administrative requirements of the  AGR Program. Airmen on occasional and AGR deployment backfill tours are term-limited and  will not meet an ACB for consideration of career status.   ANGI36-101  21 APRIL 2022  45"
9.7.4,,"The ACB decisions are based on the needs of the unit, state, and ANG. The ACB will  consider: the Airman’s ACB Worksheet listing his/her desire to participate in the AGR  Program and all supervisor/commander recommendations, the ACB Profile (see Table 9.1),  and the “whole person” concept and current and future force structure. Each member’s service  history is reviewed to determine his/her ability to attain 20 years TAFMS and to determine if  the Airman’s participation in the career program is in the best interest of the ANG."
9.7.5,,"The board is provided a list of all the Airmen to be considered. They will also receive,  at a minimum, the following for each Airman:  the ACB Worksheet, relevant personnel  information as determined by the state to conduct “whole person” concept review, and any  letters submitted by the Airman to the board in accordance with paragraph 9.6.3 Documents  prepared or submitted specifically for board use will be disposed of in accordance with AFI  33-322, Records Management and Information Governance Program."
9.7.6,,"The ACB will not be used to terminate the AGR orders of those Airmen who should  have been removed from the AGR Program under the provisions of paragraphs 8.5, 8.6, 8.7,  and 8.8 of this instruction."
9.8,,"ACB Post-Board Process.  The recorder will publish a report of the ACB actions and  recommendations using Attachment 11, AGR Continuation Board (ACB) Report Format, as a  guide. The report will be submitted to TAG or the CG no later than 15 days from the board  completion date. The recommendations of the ACB are not binding but will be given serious  consideration. Other than the ACB Report, and possible ACB Minority Report (Attachment 12),  no record of the ACB proceedings will be prepared."
9.8.1,,"The report captures the board’s recommended actions concerning members’ entry into  the career program, continuation beyond 20 years of TAFMS, or non-continuation on the AGR  tour. Memorandums of notification will be prepared and forwarded to each Airman and  leadership indicating the ACB decision. Normally, notifications will be provided to everyone  within 60 days following the board."
9.8.2,,"Any ACB member who disagrees with the recommendation(s) of the majority may  submit a minority report using Attachment 12, AGR Continuation Board (ACB) Minority  Report Format, as a guide. The member will sign the minority report as well as the board  proceedings and will annotate on the board proceedings that a minority report is being  submitted as an attachment to the ACB Report."
9.8.3,,TAG or the CG will review the recommendations of the ACB and approve or disapprove  any or all specific recommendations. TAG or the CG is the final approval authority on all  actions and may disapprove a board in its entirety if substantial material errors and/or  procedural deficiencies are found.
9.8.3.1,,"Post-review ACB memorandums of notification will be prepared using  Attachment 13, Post-review AGR Continuation Board (ACB) Notification Memorandum  (Commander), for each commander to communicate the ACB decisions to their affected  Airmen."
9.8.3.2,,"Each Airman will be required to sign a statement to acknowledge notification of  ACB results (see Attachment 14, AGR Continuation Board (ACB) Member  Acknowledgement of Decision Notification). Notifications will typically be provided to   46  ANGI36-101  21 APRIL 2022  each individual no later than 30 days after TAG or the CG approval of the board  proceedings."
9.9,,Entry into the AGR Career Program.  The ACB may review members for entry into the  AGR Career Program. Requests and recommendations for AGR career status are reviewed and  approved by TAG or the CG.
9.9.1,,"AGR Career Status may be granted to individuals regardless of their ability to attain 20  years of TAFMS prior to their MSD or maximum age. Airmen granted career status (successive  tour) shall be administered with the understanding that their service may lead to a military  retirement after attaining the required years of TAFMS. However, career status does not  guarantee continuation to 20 years of TAFMS and a regular retirement. Continuation to 20  years of TAFMS and beyond is contingent upon individual performance, career progression,  mission requirements, force management, and the needs of the unit, state, and ANG."
9.9.2,,Reassignment to a new follow-on AGR position that exceeds the initial probationary  tour should result in an extension to the probationary period in accordance with paragraph
6.2.1,,of this instruction.
9.9.3,,AGR members approved for entry into the AGR career program who subsequently  separate from the AGR program forfeit their career status. Officer and enlisted Airmen who  return to the AGR program will serve a new probationary period and be reconsidered for entry  into the career program in accordance with this instruction.
9.10,,"Continuation Beyond 20 Years of Active Federal Military Service.  A follow-on tour for  an Airman who has attained 20 years or more of TAFMS is primarily dependent upon the needs  of the unit, state, and ANG."
9.10.1,,Approved extensions will normally be one to two years in length. Airmen would then  be required to meet another ACB at the end of the approved extension period.
9.10.2,,Any extension beyond two years should be justified to include time in grade  considerations in accordance with AFI 36-3203.
9.11,,Non-continuation on an AGR Tour.  Airmen not selected for entry into the career program  or continuation beyond 20 years of TAFMS will be provided at least 180 days notification prior to  the expiration of their AGR order.
9.11.1,,Airmen not selected for entry into the AGR career program or for continuation after  achieving 20 years active service will be released from active duty on the expiration of their  AGR orders.
9.11.2,,"Airmen not continued by an ACB are still eligible to apply for and accept a new AGR  assignment if they are reenlistment eligible (enlisted) and are not restricted by MSD, age, or  another mandatory separation reason. If selected for a new AGR assignment, the Airman’s  date of separation will be adjusted so he/she can accept the assignment."
9.12,,ACB Reconsideration Process.  The final reconsideration authority for the ACB decision  is TAG or the CG. AGR members may request reconsideration of an ACB decision by forwarding  their request with supporting documentation to the HRO for staffing. Reconsiderations must arrive  to the HRO no later than 30 days from the date on the ACB decision memorandum.   ANGI36-101  21 APRIL 2022  47
9.12.1,,Supporting justification not provided with the original ACB Worksheet may be  included in the reconsideration request. The request must be reviewed and endorsed in a timely  manner by each level of command prior to reaching the HRO for processing. Endorsements  must include rationale behind the support or non-support of the individual’s request.
9.12.2,,Reconsideration requests received without the appropriate chain of command  coordination will be returned to the Airman without action. Reconsiderations must be received  by the HRO no later than 30 days from the date on the ACB decision memorandum. The  Airman’s chain of command will not hold a reconsideration request to circumvent the 30-day  submission requirement.
9.12.3,,The reconsideration decision of TAG or the CG is final. There is no option for  additional reconsideration beyond TAG or the CG.
9.13,,Out-of-Cycle ACB.  An out-of-cycle ACB may be requested by Airmen or their leadership  chain if a retention decision is required outside the normal ACB process. An out-of-cycle ACB  shall not be used in lieu of an involuntary curtailment.
9.13.1,,Processing Procedures. An out-of-cycle ACB request should be forwarded to the HRO  for staffing. The HRO will staff the request to TAG or the CG for decision.
9.13.2,,"A notification memorandum will be prepared and forwarded to the Airman and  leadership indicating the out-of-cycle ACB decision. If career status is denied, the normal  reconsideration and notification process will apply.  Table 9.1.  ACB Profile.  Rank   Force Management Considerations for AGR  Members over 20 Years of TAFMS  Col   TIG met   Lt Col  No advancement projected and/or no PME, TIG met  Maj  No advancement projected and/or no PME  Capt  No advancement projected   Lt  No advancement projected and/or no PME  CMSgt  TIG met, no advancement projected  SMSgt  No advancement projected  MSgt  No advancement projected and/or no PME  TSgt  No advancement projected and/or no PME  SSgt  No advancement projected and/or no PME  Note:  The ACB Profile is a management tool to be used as a guide in  managing the force. The ACB Profile should be used in conjunction with  the “whole person” concept and the needs of the unit, state, and ANG.   48  ANGI36-101  21 APRIL 2022  Chapter 10  PRIORITY PLACEMENT AND REDUCTION IN FORCE"
10.1,,"Priority Placement of Overgrade Airmen.  The Priority Placement Program (PPP) is  designed for the management of overgrade AGR Airmen. Reductions in Force (RIF) actions take  precedence over the PPP. Because of unique mission requirements and unit force management  plans, each HRO must develop written PPP procedures that incorporate the following:"
10.1.1,,Ensure the fewest number of personnel are administratively reduced in grade or  released from AGR status.
10.1.2,,Ensure AGR personnel in an overgrade status and military technicians in a retained  grade status will be given simultaneous PPP consideration. Neither category has priority over  the other.
10.1.3,,Placement must be based on the least amount of impact to the individual and mission.
10.2,,Implementation of PPP.
10.2.1,,AGR personnel who become overgrade to their UMD assignment will be entered into  the PPP as described below:
10.2.1.1,,"Airmen will be entered into the PPP on the same date as the action causing them  to become an overgrade. The overgrade condition should be resolved as soon as possible  but can remain for a maximum of 24 months. If an extension to the overgrade condition is  required, it must be approved by NGB/A1PP in accordance with DAFI 36-2110."
10.2.1.2,,The HRO will notify AGR members in writing when they have been placed in  the PPP and when they are 180 calendar days away from the expiration of their PPP  placement. The FSS will also be given informational copies.
10.2.2,,"An Airman in the PPP will be offered, in writing, the first full-time AGR position  available on the UMD within the state for which the Airman is fully qualified for assignment  as outlined in Chapter 6."
10.2.2.1,,"The written offer will identify the position, unit of assignment, and unit location."
10.2.2.2,,The position offered should be in a unit within the locally established  commuting-distance of the Airman's residence. This does not preclude entitlement to PCS  if the position requires reassignment to another installation.
10.2.3,,"Overgrade AGR Airmen must accept or decline a position offered under the PPP  within 10 workdays of the date of receipt of the written offer. If the Airman accepts the  position, the HRO will direct the FSS to reassign the Airman within 30 days of acceptance of  the position."
10.2.4,,An enlisted AGR in overgrade who declines a position offered under the PPP must be  reduced in grade to the maximum grade of the UMD position no later than 30 workdays after  the declination in accordance with AFI 36-2502. Officers will be separated from AGR status  if they decline a position offered under the PPP. Note: officers in sanctuary must be retained  until they meet eligibility for a regular retirement in accordance with 10 USC § 12686. (T-0).   ANGI36-101  21 APRIL 2022  49
10.2.5,,TAG or the CG may approve the retention of an Airman in the PPP after the individual  has declined an offered position if the declination was based on justifiable circumstances which  would have created a severe hardship for the Airman.
10.3,,"Notification of Overgrade.  HROs or designated representatives must counsel AGR  personnel on the provisions of this chapter and DAFI 36-2110, within 30 days of the date they are  assigned as an overgrade."
10.4,,Reduction in Force.  RIFs are designed to manage AGR Airmen who become excess to the  state’s AGR RAs.
10.4.1,,"The HRO administers and manages placement programs for AGR members in the  event of force reductions, requirements, and/or mission changes."
10.4.2,,Officers and enlisted serving on AGR tours may be involuntarily separated due to a  reduction in AGR RAs.
10.4.3,,Placement based on RIF actions takes precedence over placement due to PPP actions.
10.4.4,,AGR Airmen in sanctuary are exempt from RIF actions.
10.4.5,,"Individuals may be eligible for separation pay based on length of service in accordance  with 10 USC § 1174, DoD FMR, and the JTR. Unit comptroller or designated representative  must counsel AGR personnel on the provisions of these entitlements (Reference Attachment  5)."
10.5,,Implementation of RIF.
10.5.1,,"When NGB/A1M notifies the state of a reduction in AGR RAs, the HRO will do the  following:"
10.5.1.1,,Notify commanders they must identify which functional areas are to be reduced  based on mission requirements. The HRO will place all AGR personnel within those  functional areas on an AGR RIF register.
10.5.1.2,,"Ensure reductions are first accomplished by normal attrition, hiring freezes, and  separation of retirement-eligible Airmen."
10.5.2,,"Individuals who are eligible for an immediate, regular retirement will be separated  from the AGR program before conducting a RIF board unless specifically authorized for  retention by TAG or the CG (this authority may not be delegated)."
10.5.2.1,,Retention will only be authorized for mission essential reasons when the  individual possesses unique military qualifications that are not readily available.
10.5.2.2,,Retention will not be authorized for the sole benefit of the Airman.
10.5.3,,Provide written notification to affected personnel of the RIF board to be held and the  procedures that will be followed.
10.5.4,,Convene a board of ANG personnel to prioritize affected Airmen placed on a RIF  register.
10.5.4.1,,Airmen must be given written notification at least 90 calendar days prior to  separation.
10.5.4.2,,Airmen will be counseled on transition assistance benefits.   50  ANGI36-101  21 APRIL 2022
10.5.5,,New hires will only be authorized after every effort has been made to reassign AGR  Airmen affected by the RIF.
10.5.6,,AGR Airmen who have not been placed must be given written notification of  separation no later than 90 days prior to the reduction in AGR RA.
10.6,,AGR RIF Boards.
10.6.1,,Boards will be comprised of at least three members who are equal or senior in grade  to those members being considered. The board president will be the senior member on the  board. All board members will be present for all board sessions. The board composition should  be reflective of the Airmen considered for possible RIF actions - to include female and/or  minority representation if appropriate.
10.6.2,,The board will consider the following factors in establishing order precedence on the  register:
10.6.2.1,,Career status – the placement of career status AGR members will take  precedence over the placement of non-career status AGR members.
10.6.2.2,,Performance evaluations
10.6.2.3,,Professional Military Education and civilian education
10.6.2.4,,Technician reemployment rights
10.6.2.5,,AFSC qualifications
10.6.2.6,,Military mission requirements   ANGI36-101  21 APRIL 2022  51  Chapter 11  RECRUITING AND RETENTION
11.1,,General.
11.1.1,,All recruiting personnel currently serving in the 8R000 SDI are encouraged to pursue  career broadening assignments. Recruiting and Retention personnel will not be assigned  additional duties that interfere with their primary responsibilities.
11.1.2,,Recruiters and Retention Office Managers (ROMs) are expected to be available during  RSDs and at times when their “customers” are available. Reference paragraph 7.6 for duties  of AGR personnel.
11.2,,Entry Grade/Skill-Level Qualifications.  All Recruiting and Retention tours will begin  after successful completion of any USAF Recruiting School.
11.2.1,,Enlisted Accessions Recruiter (8R000): Rank of SrA through TSgt (must have  completed Airman Leadership School (ALS)); 5-level in any AFSC is required except in those  instances where a 5-level does not exist; 18 months ANG membership is preferred.
11.2.2,,Second-Tier Recruiter (8R200): Rank of SSgt through TSgt; minimum of 24 months  of experience as an 8R000.
11.2.3,,Third-Tier Recruiter (8R300A): Prior qualification in SDI 8R100 or 8R200 with a  minimum of 24 months of experience. Prior qualification in SDI 8R000 with a minimum of 24  months of experience and 8R200 with a minimum of 12 months of experience.
11.3,,Selection Process.
11.3.1,,Selection and assignment to vacant Recruiting and Retention positions must be within  the authorized grade limits specified for the positions.
11.3.2,,"Recruiting and Retention resources are “fenced”, and therefore cannot be realigned  from the program."
11.3.3,,The state Production Superintendent must be directly involved in the selection process  for all Recruiting and Retention personnel.
11.4,,Length of Tours.
11.4.1,,It is important for state and unit supervisors to create a force management plan that  will enable deserving Recruiting and Retention personnel to have an opportunity for upward  mobility.
11.4.2,,All Recruiting and Retention tours will be based on state AGR hiring guidelines. Tour  extensions beyond the initial tour should be approved if the production and/or performance  levels of the recruiter have consistently been met.
11.5,,Occasional Tours.
11.5.1,,Occasional Recruiting and Retention tours are authorized for short periods of time to  fulfill work requirements directly supporting recruiters. Requests for occasional Recruiting and  Retention tours will be submitted in writing through the HRO to NGB/A1PP and will require  NGB/A1Y concurrence.   52  ANGI36-101  21 APRIL 2022
11.5.2,,Occasional Recruiting and Retention tours will be for a minimum of 31 days and will  not exceed 36 months in duration without prior approval from NGB/A1PP. Provisions of  paragraph 13.4 apply.
11.6,,Tour Termination.
11.6.1,,"Termination of Recruiting and Retention tours, when necessary, must be handled  expediently."
11.6.2,,"The immediate supervisor will furnish the Airman a letter of counseling when  production or expected performance standards are not being met. The Airman will be given  adequate time correct/improve performance, as determined by supervisor and SPS. If the  performance standards are not met, the Airman will be involuntary curtailed in accordance  with paragraph 8.5 of this instruction.   ANGI36-101  21 APRIL 2022  53  Chapter 12  MEDICAL"
12.1,,"General.  Within the context of federal law, the health and well-being of ANG Airmen must  always be a prime consideration in any decision concerning their assignment, utilization, retention,  or separation."
12.2,,Eligibility for AGR Tours.
12.2.1,,Individuals selected for AGR tours must meet the PHA requirements outlined in  DAFMAN 48-123 and AFI 48-170 and be current in all Individual Medical Readiness (IMR)  requirements in accordance with AFI 10-250. PHA and dental must be conducted not more  than 12 months prior to entry on an AGR tour and an HIV test must be completed not more  than 6 months prior to the start date of the AGR tour. Individuals transferring from Title 10  (Regular Air Force or Reserve Component Title 10 Statutory Tour) are not required to have a  new physical unless the previous physical is over 12 months old at the time of entry into AGR  status.
12.2.1.1,,Individuals on an AF Form 469 with a mobility restriction at the time of AGR  physical package evaluation will not be eligible to start on AGR orders.
12.2.1.2,,Individuals may apply for AGR tours provided they meet the requirements in  paragraph 12.2.1 and are medically cleared of the mobility restricting DLC prior to  starting a new AGR tour in accordance with AFI 48-133. See paragraph 5.1.1 regarding  the accession of pregnant Airmen.
12.2.2,,"For all AGR tours, to include occasional, temporary, and/or backfill, Airmen  determined physically qualified for continued military service on an AF Form 422 by the SAS  or delegated Flight Surgeon/Provider may enter an AGR tour immediately in accordance with  DAFMAN 48-123 and AFI 48-133. All medical documentation must be forwarded for the SAS  to review. Transfers from other service components may use the DD Form 2807-1, Report of  Medical History, and DD Form 2808, Report of Medical Examination, their service specific  PHA, or TriService PHA as proof of examination provided it is current within 12 months and  meets AF standards."
12.2.2.1,,"The SAS, or delegated Flight Surgeon/Provider, will request to forward  questionable cases and those cases where a member has or requires an Assignment  Limitation Code (ALC) to the certifying authority, NGB/SGPS, for review, disposition,  and approval."
12.2.2.2,,"The GMU should verify the condition is stable and the ALC will not expire  within the first 6 months of the AGR order prior to submitting the AGR package for  NGB/SGPS approval. A stamped, approved AF Form 422 by NGB/SGPS is required for  members on or requiring an ALC prior to starting an AGR order."
12.2.3,,"Airmen selected for permanent, occasional, and AGR deployment-backfill tours must  also meet the criteria for entry listed in Chapter 5 of this instruction. If a member enters an  occasional or temporary AGR tour, and is selected for a permanent AGR tour, there is no need  to recertify an AGR physical if there is no break in orders.   54  ANGI36-101  21 APRIL 2022"
12.3,,Medical Care.
12.3.1,,"AGR Airmen are authorized medical care in accordance with AFMAN 41-210,  TRICARE Operations and Patient Administration."
12.3.2,,"The Airman or supervisor must inform the servicing ANG medical facility of any  changes in the Airman's medical status at time of onset in accordance with DAFMAN 48-123.  Failure to report any changes that may affect the Airman’s duty and/or mobility status will be  considered non-compliant and will be referred to the commander, in writing, for administrative  action and separation from the AGR tour in accordance with AFI 36-3209."
12.3.3,,"AGR personnel will be counseled that scheduling elective surgery (AFI 44-102,  Chapter 6) without the approval of the Air/Detachment/Mission Commander may be  considered an abuse of privileges and may result in disciplinary action."
12.3.4,,Pregnancy. Medical benefits for pregnant AGR Airmen are authorized in AFMAN 41- 210. Policies established by HQ USAF and NGB/SG must be consulted for further guidance.  The following policies apply regarding extension/separation of pregnant Airmen:
12.3.4.1,,An Airman cannot be released involuntarily prior to expiration of a tour solely  because of pregnancy.
12.3.4.2,,"Airmen on AGR tours, other than occasional and AGR deployment-backfill  tours, may be continued or released as planned regardless of the pregnancy. Tours may not  be extended merely to provide medical coverage for non-complicated pregnancies. AGR  members with complicated pregnancies must provide medical documentation from their  provider to their servicing ANG Medical Group. Benefits for medical coverage are in  accordance with AFMAN 41-210."
